BANDHAN Bank 729 - Cheque in hand,,,,,,,,,,,
Cheers Retail Private limited,,,,,,,,,,,
Date,Particulars,Instrument Number,"Instrument
 Date", Credit ,Bill Date,"Payment
 Type",Cheque In Hand / Issued on,Cheque debited on,Ageing,CO.,
07-02-2022,CV-GL DISTRIBUTORS LLP,657,,"19,936",20-01-2022,Supplier,In Hand,,,CV,
07-02-2022,CV-T.J.AGENCIES,658,,"10,686",24-11-2022,Supplier,In Hand,,,CV,
07-02-2022,SUPREME AGENCIES_472,659,,"3,985",29-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,BABA ENTERPRISES_869,660,,"2,318",29-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,R SQUARE FOOD FACTORY_771,661,,"11,711",12-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,SAKTHI TRADERS_270,662,,"14,000",25-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,SAKTHI TRADERS_270,663,,"13,978",25-01-2022,Supplier,In Hand,,,CRPL,
07-02-2022,D.A.ENGINEERING WORK,665,,"5,664",07-12-2021,Admin,In Hand,,,CRPL,
07-02-2022,CV-RAINBOW FORMS,666,,"12,744",13-11-2021,Admin,In Hand,,,CV,
07-02-2022,CV-SKY Office Mart,667,,"9,095",26-08-2021,HK,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),668,,"5,000",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),669,,"4,900",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-GURUSAMY.S (MILK),670,,"4,080",31-08-2021,Admin,In Hand,,,CV,
07-02-2022,CV-S.GURUSAMY,671,,"7,377",20-11-2021,Supplier,In Hand,,,CV,
08-02-2022,JAI MARKETING AGENCYS_937,672,,"4,428",12-01-2022,Supplier,In Hand,,,CRPL,
08-02-2022,CV-GIRI Brothers,673,,"3,363",ADV,Admin,In Hand,,,CV,
